stream,h,method,n,rel_bias,median_rel_bias,mape,rmse,mean_realized,cov50,cov90,origin_set
Y0,1,naive,30,-0.2928540517233832,-0.2928323703424002,0.2928540517233832,1224.633523412889,4089.4666666666667,,,evaluation 2021-01..2023-06
Y0,1,onestep,30,0.10659640116345419,0.09799692419356376,0.11266733936316552,522.8911970982124,4089.4666666666667,,,evaluation 2021-01..2023-06
Y0,1,nowcast,30,0.011637899832305183,0.00499201619894388,0.054381475341060546,275.29871300751836,4089.4666666666667,0.6666666666666666,0.9333333333333333,evaluation 2021-01..2023-06
Y0,3,naive,30,-0.18848784585111547,-0.19584780618890596,0.18848784585111547,780.5477990915525,4036.0,,,evaluation 2021-01..2023-06
Y0,3,onestep,30,0.09313112066424759,0.08110448280362267,0.09407597686626822,427.43389105492224,4036.0,,,evaluation 2021-01..2023-06
Y0,3,nowcast,30,0.024183132752006373,0.015352150062256462,0.042691578578448665,219.58811848237454,4036.0,0.7666666666666667,1.0,evaluation 2021-01..2023-06
Y0,6,naive,30,-0.11875191250941093,-0.11826368472408547,0.11875191250941093,489.7862458937232,4032.766666666667,,,evaluation 2021-01..2023-06
Y0,6,onestep,30,0.07154351376915075,0.059619053063960245,0.07154351376915075,341.9937870086627,4032.766666666667,,,evaluation 2021-01..2023-06
Y0,6,nowcast,30,0.030220058077360563,0.019272165504230276,0.03563491310260625,201.33960690843307,4032.766666666667,0.8,1.0,evaluation 2021-01..2023-06
Y0,12,naive,30,-0.06195114560851518,-0.060967730025107074,0.06195114560851518,255.7702093677057,3972.8333333333335,,,evaluation 2021-01..2023-06
Y0,12,onestep,30,0.028905186678607496,0.02961131845270376,0.030592869721389783,146.95463100292764,3972.8333333333335,,,evaluation 2021-01..2023-06
Y0,12,nowcast,30,0.015749264587727782,0.017283861438455287,0.021302433609467344,106.35246968739567,3972.8333333333335,0.8333333333333334,1.0,evaluation 2021-01..2023-06
Y0,24,naive,30,-0.01641613945228486,-0.014612559709998665,0.01641613945228486,77.00043289921601,4617.1,,,evaluation 2021-01..2023-06
Y0,24,onestep,30,0.005836019299151851,0.0074654046379019345,0.007064264231660331,42.74158911193523,4617.1,,,evaluation 2021-01..2023-06
Y0,24,nowcast,30,0.00502018908509508,0.00671893543036239,0.006643863549289615,39.54012854379802,4617.1,0.4666666666666667,0.7,evaluation 2021-01..2023-06
Y1,1,naive,30,-0.259775994046439,-0.2611775479422538,0.259775994046439,46.339687813651345,174.23333333333332,,,evaluation 2021-01..2023-06
Y1,1,onestep,30,0.01509718143060526,0.009978709792435253,0.056267798437635436,11.656547532062339,174.23333333333332,,,evaluation 2021-01..2023-06
Y1,1,nowcast,30,-0.013562693494836854,-0.017133802546453886,0.05310382225080091,10.832577093561339,174.23333333333332,0.4,0.8666666666666667,evaluation 2021-01..2023-06
Y1,3,naive,30,-0.15111337250793913,-0.14177795495315926,0.15111337250793913,27.172289806590342,173.56666666666666,,,evaluation 2021-01..2023-06
Y1,3,onestep,30,0.02194730279289726,0.030737246647682955,0.04653724518505407,9.772776416804653,173.56666666666666,,,evaluation 2021-01..2023-06
Y1,3,nowcast,30,-0.0023281895792805303,0.009024980602545888,0.03636431337915041,8.11105092271994,173.56666666666666,0.6666666666666666,0.9,evaluation 2021-01..2023-06
Y1,6,naive,30,-0.09103383392411231,-0.08580630319760754,0.09103383392411231,16.968598449292543,173.86666666666667,,,evaluation 2021-01..2023-06
Y1,6,onestep,30,0.02179015360800842,0.02849565970757227,0.03970454640665432,8.672699820414206,173.86666666666667,,,evaluation 2021-01..2023-06
Y1,6,nowcast,30,0.00438014688983372,0.011500415849490915,0.030664177816450047,6.976621414572384,173.86666666666667,0.4666666666666667,0.8,evaluation 2021-01..2023-06
Y1,12,naive,30,-0.04095504426679738,-0.04131555122222996,0.04095504426679738,7.3530039213009175,173.1,,,evaluation 2021-01..2023-06
Y1,12,onestep,30,0.012747676406632177,0.009521876986706486,0.015367497300909432,3.582354837045681,173.1,,,evaluation 2021-01..2023-06
Y1,12,nowcast,30,0.006739596602266886,0.004472016386826169,0.012142632291302326,2.8404303655474763,173.1,0.6,0.9333333333333333,evaluation 2021-01..2023-06
Y1,24,naive,30,-0.011108312107126818,-0.01237371160322482,0.011108312107126818,2.496664441476534,197.3,,,evaluation 2021-01..2023-06
Y1,24,onestep,30,0.002852234398629788,0.0023199265304905035,0.005818612658034799,1.4565962750377666,197.3,,,evaluation 2021-01..2023-06
Y1,24,nowcast,30,0.0021859916747096406,0.0016524663901900346,0.0056095635102162275,1.3825569136431508,197.3,0.8,0.9666666666666667,evaluation 2021-01..2023-06
Y2,1,naive,30,-0.28613043109907843,-0.2862394957983193,0.28613043109907843,33.63975822346726,116.1,,,evaluation 2021-01..2023-06
Y2,1,onestep,30,0.06122262130697041,0.05101010099623063,0.07193454356377435,10.83564766680946,116.1,,,evaluation 2021-01..2023-06
Y2,1,nowcast,30,0.0075345805348588,0.002661821154736636,0.04612930496200011,7.338914952646615,116.1,0.8666666666666667,0.9666666666666667,evaluation 2021-01..2023-06
Y2,3,naive,30,-0.1737269019614963,-0.17074592074592074,0.1737269019614963,20.42221013178218,115.43333333333334,,,evaluation 2021-01..2023-06
Y2,3,onestep,30,0.04955167851301514,0.044779184185686285,0.05783189473734813,8.578990928082305,115.43333333333334,,,evaluation 2021-01..2023-06
