make,comp_family,peak_24mo_severe,tau_naive,tau_naive_str,tau_naive_matched,tau_naive_matched_str,tau_nowcast,tau_nowcast_str,delta_vs_naive,delta_vs_naive_matched,tau_naive_spec,delta_vs_naive_spec,tau_naive_matched_spec,delta_vs_naive_matched_spec
FORD,SUSPENSION,69.0,,,,,24097.0,2008-02,,,24097.0,0.0,24097.0,0.0
FORD,TIRES,382.0,,,,,,,,,,,,
FORD,UNKNOWN OR OTHER,123.0,,,24224.0,2018-09,24066.0,2005-07,,158.0,24066.0,0.0,24066.0,0.0
FORD,VEHICLE SPEED CONTROL,599.0,24062.0,2005-03,24061.0,2005-02,24061.0,2005-02,1.0,0.0,24062.0,1.0,24061.0,0.0
FORD,VISIBILITY,35.0,,,,,,,,,,,,
GEO,AIR BAGS,64.0,,,,,,,,,,,,
GMC,AIR BAGS,79.0,,,,,,,,,,,24096.0,
GMC,ELECTRICAL SYSTEM,36.0,,,,,,,,,24279.0,,,
GMC,SERVICE BRAKES,59.0,,,,,,,,,,,24178.0,
GMC,"SERVICE BRAKES, HYDRAULIC",157.0,,,,,,,,,,,,
GMC,STRUCTURE,30.0,,,,,,,,,,,,
HONDA,AIR BAGS,377.0,,,24178.0,2014-11,24178.0,2014-11,,0.0,24178.0,0.0,24174.0,-4.0
HONDA,ELECTRICAL SYSTEM,62.0,,,,,24141.0,2011-10,,,24123.0,-18.0,24141.0,0.0
HONDA,ENGINE,56.0,,,,,24171.0,2014-04,,,24171.0,0.0,24171.0,0.0
HONDA,ENGINE AND ENGINE COOLING,44.0,,,,,,,,,,,,
HONDA,FORWARD COLLISION AVOIDANCE,63.0,,,,,24273.0,2022-10,,,24273.0,0.0,24277.0,4.0
HONDA,POWER TRAIN,54.0,,,,,,,,,,,,
HONDA,SEAT BELTS,37.0,,,,,,,,,,,,
HONDA,SEATS,44.0,,,,,,,,,,,,
HONDA,SERVICE BRAKES,87.0,,,,,24159.0,2013-04,,,24159.0,0.0,24159.0,0.0
HONDA,"SERVICE BRAKES, HYDRAULIC",54.0,,,,,,,,,,,,
HONDA,STEERING,66.0,,,,,,,,,,,,
HONDA,STRUCTURE,61.0,,,,,,,,,24098.0,,,
HONDA,UNKNOWN OR OTHER,34.0,,,,,24186.0,2015-07,,,24186.0,0.0,,
HONDA,VEHICLE SPEED CONTROL,78.0,,,,,24121.0,2010-02,,,24121.0,0.0,24124.0,3.0
HYUNDAI,AIR BAGS,164.0,,,,,,,,,,,24174.0,
HYUNDAI,ELECTRICAL SYSTEM,67.0,,,,,24182.0,2015-03,,,24182.0,0.0,,
HYUNDAI,ENGINE,157.0,,,24226.0,2018-11,24226.0,2018-11,,0.0,24189.0,-37.0,24189.0,-37.0
HYUNDAI,FORWARD COLLISION AVOIDANCE,38.0,,,,,,,,,,,,
HYUNDAI,SERVICE BRAKES,88.0,,,,,24171.0,2014-04,,,24171.0,0.0,24222.0,51.0
HYUNDAI,"SERVICE BRAKES, HYDRAULIC",35.0,,,,,24140.0,2011-09,,,24140.0,0.0,,
HYUNDAI,STRUCTURE,46.0,,,,,,,,,,,24176.0,
HYUNDAI,UNKNOWN OR OTHER,76.0,,,,,24233.0,2019-06,,,24233.0,0.0,24233.0,0.0
HYUNDAI,VEHICLE SPEED CONTROL,57.0,,,,,24280.0,2023-05,,,24280.0,0.0,24280.0,0.0
ISUZU,"SERVICE BRAKES, HYDRAULIC",43.0,,,,,,,,,,,,
JEEP,AIR BAGS,213.0,,,,,,,,,,,24179.0,
JEEP,ELECTRICAL SYSTEM,144.0,,,24180.0,2015-01,24180.0,2015-01,,0.0,24180.0,0.0,24170.0,-10.0
JEEP,ENGINE,71.0,,,,,24149.0,2012-06,,,24149.0,0.0,24149.0,0.0
JEEP,POWER TRAIN,337.0,,,24195.0,2016-04,24195.0,2016-04,,0.0,24176.0,-19.0,24193.0,-2.0
JEEP,SEATS,51.0,24247.0,2020-08,24247.0,2020-08,24247.0,2020-08,0.0,0.0,24247.0,0.0,24247.0,0.0
JEEP,SERVICE BRAKES,62.0,,,,,24188.0,2015-09,,,24188.0,0.0,24189.0,1.0
JEEP,"SERVICE BRAKES, HYDRAULIC",40.0,,,,,,,,,,,,
JEEP,STRUCTURE,71.0,,,,,24171.0,2014-04,,,24171.0,0.0,,
JEEP,SUSPENSION,52.0,,,,,,,,,,,,
JEEP,UNKNOWN OR OTHER,59.0,,,,,24193.0,2016-02,,,24193.0,0.0,24203.0,10.0
JEEP,VEHICLE SPEED CONTROL,115.0,,,,,,,,,,,,
KIA,AIR BAGS,160.0,,,,,,,,,,,24103.0,
KIA,ELECTRICAL SYSTEM,81.0,,,,,,,,,,,24224.0,
KIA,ENGINE,243.0,,,24227.0,2018-12,24149.0,2012-06,,78.0,24149.0,0.0,24149.0,0.0
KIA,SERVICE BRAKES,48.0,,,,,,,,,,,,
KIA,"SERVICE BRAKES, HYDRAULIC",37.0,,,,,,,,,,,,
KIA,STRUCTURE,59.0,,,,,,,,,,,,
KIA,UNKNOWN OR OTHER,95.0,,,24259.0,2021-08,24257.0,2021-06,,2.0,24257.0,0.0,24257.0,0.0
LEXUS,AIR BAGS,64.0,,,,,,,,,,,,
LEXUS,VEHICLE SPEED CONTROL,146.0,24122.0,2010-03,24122.0,2010-03,24122.0,2010-03,0.0,0.0,24122.0,0.0,24122.0,0.0
LINCOLN,AIR BAGS,31.0,,,,,,,,,,,,
LINCOLN,ELECTRICAL SYSTEM,87.0,,,,,,,,,,,,
LINCOLN,ENGINE AND ENGINE COOLING,30.0,,,,,24099.0,2008-04,,,24099.0,0.0,,
LINCOLN,VEHICLE SPEED CONTROL,42.0,,,,,,,,,,,,
MAZDA,AIR BAGS,76.0,,,,,,,,,,,24185.0,
MAZDA,ENGINE AND ENGINE COOLING,34.0,,,,,,,,,,,,
MERCEDES BENZ,AIR BAGS,31.0,,,,,,,,,,,,
MERCEDES BENZ,ELECTRICAL SYSTEM,53.0,,,,,24092.0,2007-09,,,24092.0,0.0,24092.0,0.0
MERCEDES-BENZ,AIR BAGS,51.0,,,,,,,,,,,,
MERCEDES-BENZ,ELECTRICAL SYSTEM,32.0,,,,,,,,,,,,
MERCURY,AIR BAGS,65.0,,,,,,,,,,,24100.0,
MERCURY,ELECTRICAL SYSTEM,142.0,,,,,,,,,,,,
MERCURY,ENGINE AND ENGINE COOLING,42.0,,,,,,,,,,,,
MERCURY,"SERVICE BRAKES, HYDRAULIC",37.0,,,,,,,,,,,,
MERCURY,VEHICLE SPEED CONTROL,54.0,,,,,,,,,,,,
MINI,STEERING,38.0,,,,,,,,,,,,
MITSUBISHI,AIR BAGS,76.0,,,,,,,,,,,,
NISSAN,AIR BAGS,236.0,,,,,,,,,,,24185.0,
NISSAN,ELECTRICAL SYSTEM,57.0,,,,,,,,,24182.0,,24070.0,
NISSAN,ENGINE,46.0,,,,,24169.0,2014-02,,,24163.0,-6.0,,
NISSAN,ENGINE AND ENGINE COOLING,46.0,,,,,,,,,,,,
NISSAN,"FUEL SYSTEM, GASOLINE",172.0,,,,,,,,,,,,
NISSAN,POWER TRAIN,35.0,,,,,,,,,,,,
NISSAN,SEAT BELTS,31.0,,,,,,,,,,,,
NISSAN,SERVICE BRAKES,91.0,,,24191.0,2015-12,24162.0,2013-07,,29.0,24162.0,0.0,24162.0,0.0
NISSAN,"SERVICE BRAKES, HYDRAULIC",35.0,,,,,,,,,,,,
NISSAN,STRUCTURE,35.0,,,,,,,,,,,,
NISSAN,UNKNOWN OR OTHER,44.0,,,,,,,,,,,,
NISSAN,VEHICLE SPEED CONTROL,37.0,,,,,,,,,,,,
OLDSMOBILE,AIR BAGS,42.0,,,,,,,,,,,,
OLDSMOBILE,ELECTRICAL SYSTEM,30.0,,,,,,,,,,,,
OLDSMOBILE,"SERVICE BRAKES, HYDRAULIC",38.0,,,,,,,,,,,,
OLDSMOBILE,VEHICLE SPEED CONTROL,33.0,,,,,,,,,,,,
PLYMOUTH,AIR BAGS,100.0,,,,,,,,,,,,
PLYMOUTH,ELECTRICAL SYSTEM,32.0,,,,,,,,,,,,
PLYMOUTH,"SERVICE BRAKES, HYDRAULIC",32.0,,,,,,,,,,,,
PONTIAC,AIR BAGS,105.0,,,,,,,,,,,,
PONTIAC,ELECTRICAL SYSTEM,65.0,,,24176.0,2014-09,24176.0,2014-09,,0.0,24176.0,0.0,24176.0,0.0
PONTIAC,ENGINE,151.0,,,24193.0,2016-02,24149.0,2012-06,,44.0,24149.0,0.0,24149.0,0.0
PONTIAC,ENGINE AND ENGINE COOLING,140.0,24095.0,2007-12,24094.0,2007-11,24094.0,2007-11,1.0,0.0,24094.0,0.0,24094.0,0.0
PONTIAC,SEAT BELTS,30.0,,,,,,,,,,,,
PONTIAC,"SERVICE BRAKES, HYDRAULIC",48.0,,,,,,,,,,,,
PONTIAC,STEERING,47.0,,,,,24184.0,2015-05,,,24184.0,0.0,24184.0,0.0
RAM,AIR BAGS,68.0,,,,,24206.0,2017-03,,,24206.0,0.0,24206.0,0.0
RAM,ELECTRICAL SYSTEM,30.0,,,,,,,,,24276.0,,,
RAM,ENGINE,56.0,,,,,24225.0,2018-10,,,24225.0,0.0,,
RAM,POWER TRAIN,66.0,,,,,24204.0,2017-01,,,24204.0,0.0,24204.0,0.0
RAM,SERVICE BRAKES,37.0,,,,,,,,,,,,
RAM,STEERING,41.0,,,,,,,,,,,,
SATURN,AIR BAGS,57.0,,,,,24068.0,2005-09,,,,,24068.0,0.0
SATURN,ELECTRICAL SYSTEM,38.0,,,,,,,,,24173.0,,,
SATURN,SEATS,43.0,,,,,,,,,,,,
SATURN,STEERING,33.0,,,,,,,,,,,,
SCION,AIR BAGS,32.0,,,,,,,,,,,,
SUBARU,AIR BAGS,57.0,,,,,,,,,24180.0,,24180.0,
SUBARU,SERVICE BRAKES,37.0,,,,,24206.0,2017-03,,,24206.0,0.0,24206.0,0.0
SUBARU,VEHICLE SPEED CONTROL,45.0,,,,,,,,,,,,
TESLA,AIR BAGS,51.0,,,,,,,,,,,,
TESLA,ELECTRICAL SYSTEM,57.0,,,,,,,,,,,,
TESLA,FORWARD COLLISION AVOIDANCE,83.0,,,,,24266.0,2022-03,,,24266.0,0.0,24266.0,0.0
TESLA,SERVICE BRAKES,60.0,,,,,24266.0,2022-03,,,24266.0,0.0,24266.0,0.0
TESLA,STEERING,52.0,,,,,,,,,,,,
TESLA,STRUCTURE,36.0,,,,,,,,,,,,
TESLA,SUSPENSION,78.0,24203.0,2016-12,24203.0,2016-12,24203.0,2016-12,0.0,0.0,24203.0,0.0,24200.0,-3.0
TESLA,UNKNOWN OR OTHER,77.0,,,,,24221.0,2018-06,,,24221.0,0.0,,
TESLA,VEHICLE SPEED CONTROL,62.0,,,24241.0,2020-02,24241.0,2020-02,,0.0,24241.0,0.0,24241.0,0.0
TOYOTA,AIR BAGS,454.0,,,,,24178.0,2014-11,,,,,24123.0,-55.0
TOYOTA,ELECTRICAL SYSTEM,75.0,24150.0,2012-07,24150.0,2012-07,24150.0,2012-07,0.0,0.0,24150.0,0.0,24150.0,0.0
TOYOTA,ENGINE,54.0,,,24259.0,2021-08,24259.0,2021-08,,0.0,24163.0,-96.0,24259.0,0.0
TOYOTA,ENGINE AND ENGINE COOLING,63.0,,,,,,,,,,,,
TOYOTA,POWER TRAIN,84.0,24121.0,2010-02,24121.0,2010-02,24121.0,2010-02,0.0,0.0,24121.0,0.0,24121.0,0.0
TOYOTA,SEAT BELTS,33.0,,,,,,,,,,,,
TOYOTA,SERVICE BRAKES,172.0,,,24165.0,2013-10,24150.0,2012-07,,15.0,24150.0,0.0,24150.0,0.0
TOYOTA,"SERVICE BRAKES, ELECTRIC",80.0,,,,,,,,,,,,
TOYOTA,"SERVICE BRAKES, HYDRAULIC",222.0,,,24122.0,2010-03,24122.0,2010-03,,0.0,24122.0,0.0,24122.0,0.0
TOYOTA,STEERING,76.0,,,24122.0,2010-03,24122.0,2010-03,,0.0,24121.0,-1.0,24122.0,0.0
TOYOTA,STRUCTURE,132.0,,,24177.0,2014-10,24078.0,2006-07,,99.0,24078.0,0.0,24082.0,4.0
TOYOTA,SUSPENSION,31.0,,,,,,,,,,,,
TOYOTA,UNKNOWN OR OTHER,69.0,24122.0,2010-03,24122.0,2010-03,24122.0,2010-03,0.0,0.0,24122.0,0.0,24122.0,0.0
TOYOTA,VEHICLE SPEED CONTROL,1020.0,24119.0,2009-12,24119.0,2009-12,24119.0,2009-12,0.0,0.0,24119.0,0.0,24119.0,0.0
VOLKSWAGEN,AIR BAGS,82.0,,,,,,,,,,,,
VOLKSWAGEN,ELECTRICAL SYSTEM,41.0,,,,,,,,,,,,
VOLKSWAGEN,ENGINE,36.0,,,,,24170.0,2014-03,,,24170.0,0.0,24170.0,0.0
VOLKSWAGEN,ENGINE AND ENGINE COOLING,37.0,,,,,,,,,,,,
VOLKSWAGEN,SEATS,131.0,,,24061.0,2005-02,24061.0,2005-02,,0.0,24061.0,0.0,24061.0,0.0
VOLKSWAGEN,SERVICE BRAKES,36.0,,,,,,,,,,,,
VOLVO,AIR BAGS,31.0,,,,,,,,,,,,
